City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Wind Direction,Weather,Country,Date
227,Uchaly,54.2996,59.4521,18.41,88,96,3.4,235,overcast clouds,RU,2022-03-19 05:55:12
228,Chicama,-7.8447,-79.1469,71.53,76,60,5.08,185,broken clouds,PE,2022-03-19 05:55:12
229,Okhotsk,59.3833,143.3,20.82,93,100,11.07,106,light snow,RU,2022-03-19 05:55:13
230,Tambacounda,13.7539,-13.7586,76.75,19,1,4.56,337,clear sky,SN,2022-03-19 05:55:13
231,Blairmore,49.6,-114.4353,37.53,60,100,14.97,300,overcast clouds,CA,2022-03-19 05:55:14
232,Salinopolis,-0.6136,-47.3561,75.16,93,100,6.42,288,overcast clouds,BR,2022-03-19 05:55:14
233,Bengkulu,-3.8004,102.2655,82.81,63,95,2.48,305,overcast clouds,ID,2022-03-19 05:55:15
234,Norman Wells,65.282,-126.8329,-2.16,78,40,2.3,360,scattered clouds,CA,2022-03-19 05:55:15
235,Guamal,9.1433,-74.2238,77.63,86,98,3.78,218,overcast clouds,CO,2022-03-19 05:54:43
236,Belaya Gora,68.5333,146.4167,0.36,89,39,2.48,196,scattered clouds,RU,2022-03-19 05:56:16
237,Coihaique,-45.5752,-72.0662,39.15,81,0,4.61,360,clear sky,CL,2022-03-19 05:53:59
238,Kirakira,-10.4544,161.9205,81.37,78,100,3.8,342,moderate rain,SB,2022-03-19 05:56:16
239,Kavieng,-2.5744,150.7967,85.89,62,57,12.88,85,broken clouds,PG,2022-03-19 05:56:17
240,San Patricio,28.017,-97.5169,68.09,51,6,9.22,54,clear sky,US,2022-03-19 05:56:18
241,Goderich,43.7501,-81.7165,44.92,81,100,5.75,140,overcast clouds,CA,2022-03-19 05:56:18
242,Zhigansk,66.7697,123.3711,3.79,93,100,22.39,161,overcast clouds,RU,2022-03-19 05:56:19
243,Almeirim,-1.5233,-52.5817,72.18,99,100,2.08,59,overcast clouds,BR,2022-03-19 05:56:19
244,Lamu,-2.2717,40.902,82.67,69,38,6.8,105,scattered clouds,KE,2022-03-19 05:56:20
